Prairie:Iowa, United States
Prairie:Oregon, United States
Pratt:Alabama, United States
Quaker:Pennsylvania, United States
Queen:Missouri, United States
Queen:Texas, United States
Rainbow:Alabama, United States
Rapid:South Dakota, United States
Redwood:San Mateo County, California, United States
Reed:Michigan, United States
Richmond:Virginia, United States
Rio Grande:Texas, United States
Rising:Nebraska, United States
Rockwell:Iowa, United States
Rogers:Michigan, United States
Rome:Indiana, United States
Rose:Michigan, United States
Rose:Texas, United States
Royal:Washington, United States
Royse:Texas, United States
Rutland:Vermont, United States
Sac:Iowa, United States
Salt Lake:Utah Territory, United States
Salt Lake:Utah, United States
Salton:California, United States
Sand:California, United States
Sardis:Alabama, United States
Sauk:Wisconsin, United States
Sawtooth:Idaho, United States
Scott:Kansas, United States
Scott:Missouri, United States
Sea Isle:New Jersey, United States
Shasta Lake:California, United States
Siler:North Carolina, United States
Silver Dollar:Missouri, United States
Silver:Idaho, United States
Silver:Michigan, United States
Silver:New Mexico, United States
Silver:Utah, United States
Sioux:Iowa, United States
Slab:California, United States
South Salt Lake:Utah, United States
South Sioux:Nebraska, United States
Spring:Pennsylvania, United States
Spring:Tennessee, United States
Spring:Utah Territory, United States
Star:Arkansas, United States
Sterling:Texas, United States
Stirling:California, United States
Stone:Iowa, United States
Story:Iowa, United States
Strong:Kansas, United States
Strong:Oklahoma, United States
Studio:California, United States
Studio:Los Angeles, United States
Sugar:Idaho, United States
Suisun:California, United States
Sun:Arizona, United States
Sun:California, United States
Sun:Florida, United States
Surf:North Carolina, United States
Swea:Iowa, United States
Sweetheart:Wisconsin, United States
Tabor:North Carolina, United States
Tahoe:California, United States
Tawas:Michigan, United States
Tell:Indiana, United States
Temple:California, United States
Texas:Texas, United States
Tin:Alaska, United States
Tipp:Ohio, United States
Tower:Pennsylvania, United States
Tracy:Tennessee, United States
Traverse:Michigan, United States
Tremont:Ohio, United States
Tri:Oregon, United States
Tuba:Arizona, United States
Tunnel:Wisconsin, United States
Union:California, United States
Union:Connecticut, United States
Union:Georgia, United States
Union:New Jersey, United States
Union:Ohio, United States
Union:Tennessee, United States
Universal:California, United States
Universal:Texas, United States
University:Missouri, United States
Valley:North Carolina, United States
Valley:North Dakota, United States
Ventnor:New Jersey, United States
Virginia:Montana, United States
Virginia:Nevada, United States
Watford:North Dakota, United States
Webb:Missouri, United States
Webster:Iowa, United States
West Ocean:Maryland, United States
West Valley:Utah, United States
West:Illinois, United States
White:Kansas, United States
White:Oregon, United States
Wolfe:Texas, United States
Yates:Illinois, United States
Yazoo:Mississippi, United States
Ybor:Florida, United States
Yuba:California, United States
Zion:Illinois, United States
