Scioto:Ohio, United States
Scotland:Missouri, United States
Scott:Illinois, United States
Scott:Missouri, United States
Scotts Bluff:Nebraska, United States
Seminole:Florida, United States
Seneca:New York, United States
Seneca:Ohio, United States
Seward:Nebraska, United States
Shawano:Wisconsin, United States
Sheboygan:Wisconsin, United States
Shelby:Alabama, United States
Shelby:Illinois, United States
Shelby:Missouri, United States
Shelby:Ohio, United States
Sheridan:Montana, United States
Sheridan:Nebraska, United States
Sherman:Nebraska, United States
Sierra:New Mexico, United States
Simpson:Mississippi, United States
Sioux:Nebraska, United States
Snohomish:Washington, United States
Socorro:New Mexico, United States
Somerset:Pennsylvania, United States
Sonoma:California, United States
Stafford:Virginia, United States
Stanley:South Dakota, United States
Stanly:North Carolina, United States
Stanton:Nebraska, United States
Stark:Illinois, United States
Stark:Ohio, United States
Starr:Texas, United States
Stephenson:Illinois, United States
Steuben:New York, United States
Stillwater:Montana, United States
Stoddard:Missouri, United States
Stone:Missouri, United States
Strafford:New Hampshire, United States
Suffolk:New York, United States
Sullivan:New York, United States
Summit:Ohio, United States
Sussex:Delaware, United States
Sussex:New Jersey, United States
Taney:Missouri, United States
Taos:New Mexico, United States
Tarrant:Texas, United States
Taylor:Wisconsin, United States
Tazewell:Illinois, United States
Teton:Wyoming, United States
Thayer:Nebraska, United States
Thurston:Nebraska, United States
Tioga:New York, United States
Tippah:Mississippi, United States
Tishomingo:Mississippi, United States
Tolland:Connecticut, United States
Tompkins:New York, United States
Torrance:New Mexico, United States
Travis:Texas, United States
Trempealeau:Wisconsin, United States
Tulare:California, United States
Tuolumne:California, United States
Tuscarawas:Ohio, United States
Tuscola:Michigan, United States
Ulster:New York, United States
Union:Illinois, United States
Union:Mississippi, United States
Union:New Mexico, United States
Union:North Carolina, United States
Union:Ohio, United States
Upson:Georgia, United States
Valencia:New Mexico, United States
Valley:Idaho, United States
Valley:Montana, United States
Valley:Nebraska, United States
Van Buren:Iowa, United States
Van Buren:Michigan, United States
Van Wert:Ohio, United States
Vermilion:Illinois, United States
Vernon:Missouri, United States
Vernon:Wisconsin, United States
Vinton:Ohio, United States
Waldo:Maine, United States
Walworth:Wisconsin, United States
Warren:Illinois, United States
Warren:Missouri, United States
Warren:New Jersey, United States
Warren:New York, United States
Warren:Ohio, United States
Warren:Virginia, United States
Wasco:Oregon, United States
Washburn:Wisconsin, United States
Washington:Illinois, United States
Washington:Kentucky, United States
Washington:Maine, United States
Washington:Minnesota, United States
Washington:Missouri, United States
Washington:Nebraska, United States
Washington:New York, United States
Washington:Ohio, United States
Washington:Oregon, United States
Washington:Pennsylvania, United States
Washington:Rhode Island, United States
Washington:Vermont, United States
Washington:Wisconsin, United States
Washoe:Nevada, United States
Washtenaw:Michigan, United States
Waukesha:Wisconsin, United States
Waupaca:Wisconsin, United States
Waushara:Wisconsin, United States
Wayne:Illinois, United States
Wayne:Missouri, United States
Wayne:Nebraska, United States
Wayne:New York, United States
Wayne:North Carolina, United States
Wayne:Ohio, United States
Wayne:Pennsylvania, United States
Webster:Nebraska, United States
Westchester:New York, United States
Westmoreland:Pennsylvania, United States
Wetzel:West Virginia, United States
Wheeler:Nebraska, United States
White:Illinois, United States
Whiteside:Illinois, United States
Will:Illinois, United States
Williams:Ohio, United States
Williamson:Illinois, United States
Windham:Connecticut, United States
Windham:Vermont, United States
Windsor:Vermont, United States
Winnebago:Illinois, United States
Winnebago:Wisconsin, United States
Wood:Ohio, United States
Wood:Wisconsin, United States
Woodford:Illinois, United States
Worcester:Massachusetts, United States
Worth:Missouri, United States
Wyandot:Ohio, United States
Wyoming:New York, United States
Wythe:Virginia, United States
Yates:New York, United States
Yavapai:Arizona, United States
York:Maine, United States
York:Nebraska, United States
York:Pennsylvania, United States
York:South Carolina, United States
